IEEE terms,counts
business,83
management,51
software,24
security,23
information security,22
training,19
hardware,17
information services,16
art,14
documentation,14
technology,14
merging,11
best practices,9
production,9
costs,8
prom,8
education,7
maintenance,6
modules,5
project management,5
quality management,5
reliability,5
software as a service,5
availability,4
contracts,4
information systems,4
information technology,4
logic,4
ports,4
risk analysis,4
sustainable development,4
context,3
feedback,3
programming,3
reviews,3
data mining,2
data models,2
decision making,2
drives,2
embedded software,2
learning,2
privacy,2
product development,2
profitability,2
recording,2
scalability,2
system performance,2
user interfaces,2
codes,1
collaboration,1
contacts,1
content management,1
correlation,1
cost benefit analysis,1
data analysis,1
data privacy,1
data structures,1
distribution functions,1
estimation,1
fluctuations,1
forecasting,1
forensics,1
government,1
knowledge management,1
manufacturing,1
modeling,1
operating systems,1
outsourcing,1
performance analysis,1
process design,1
prototypes,1
resource management,1
scheduling,1
search methods,1
sequences,1
simulation,1
technological innovation,1
waste reduction,1
